utt_id	source	method	score	old	new
vertin_01_00027	1	tidy		I never met them again . for you I 've done so many experiments . In an accident , i realized that my suitcase seemed to be able to cut the storm out . It can preserve the traces of the last era ,	I never met them again. for you I've done so many experiments. In an accident, i realized that my suitcase seemed to be able to cut the storm out. It can preserve the traces of the last era,
vertin_01_00028	1	tidy		like these photos . So i tried to put newspapers , mushrooms , w ap alo oses into the case . They all succeeded , however , when it comes to the friends I made in the last era , I failed	Like these photos. So i tried to put newspapers, mushrooms, w ap alo oses into the case. They all succeeded, however, when it comes to the friends I made in the last era, I failed
vertin_01_00029	1	tidy		. It doesn 't work on ordinary people . Maybe I should just record the time and spend no feelings on what I see , as the foundation asked me to do . I think so	It doesn't work on ordinary people. Maybe I should just record the time and spend no feelings on what I see, as the foundation asked me to do. I think so
vertin_01_00030	1	tidy		. When you were sailing out at sea on the radio , Reg ulus had cried out , shouted to the full moon . It was the beginning of the month , so it 's impossible to have a full moon . In the sky , the real moon	When you were sailing out at sea on the radio, Regulus had cried out, shouted to the full moon. It was the beginning of the month, so it's impossible to have a full moon. In the sky, the real moon
vertin_01_00031	1	tidy		was to the west of you . There were two moons that night . There is someone that Can see what I see in this world . so I decided to try it again .	Was to the west of you. There were two moons that night. There is someone that Can see what I see in this world. so I decided to try it again.
vertin_01_00032	1	tidy		for the last time not good Se ems our suitcase has been found . By crit ters , maybe . Or just someone passing by . Sorry , I need to leave for a while . N eed to hide	For the last time not good Seems our suitcase has been found. By critters, maybe. Or just someone passing by. Sorry, I need to leave for a while. Need to hide
vertin_01_00033	1	tidy		it somewhere safe . This is my own will . I don 't want to stand aside and watch you be carried away by son net to . Le aving no sign of you after the storm .	It somewhere safe. This is my own will. I don't want to stand aside and watch you be carried away by Sonetto. Leaving no sign of you after the storm.
vertin_01_00034	1	tidy		On top of that . There is something I want to find out myself . the truth	On top of that. There is something I want to find out myself. the truth
vertin_02_00035	2	word	1.193	If they shake the suitcase like this , regul us will probably fall apart . Mr Apple , I need your help . Hide it in the tree hole this time . It shouldn 't be that easy to be found . The sub c ulture movement has indeed changed the social . St	If they shake the suitcase like this, Regulus will probably fall apart. Mr. Apple, I need your help. Hide it in the tree hole this time. It shouldn't be that easy to be found. The subculture movement has indeed changed the social status
vertin_02_00036	2	word	0.520	atus of some ar can ists . While in the nineteen twenties , there are still many injust ices . Mr Apple , how long will it take for the suitcase to be completely invisible ? Reg	of some arcanists. While in the 1920s ... there are still many injustices. ... Mr. Apple, how long will it take for the suitcase to be completely
vertin_02_00037	2	word	0.509	ulus , no one 's here . The light . Did she go to another room , Reg ulus ? Why are you there ? Her voice doesn 't sound right . I should go and take a	No one's here. The light is off. Did she go to another room? Regulus! Why are you there? Her voice doesn't sound right. I should go and take
vertin_02_00038	2	word-fallback	0.130	look . Reg ulus , Reg ulus , I can 't hear at all . The fog is getting thicker . The light . m ine is two dimensional .	Look. Regulus, Regulus, I can't hear at all. The fog is getting thicker. The light. m ine is two dimensional.
vertin_02_00039	2	word-fallback	0.000	time は い 。 I seem to have seen this . it 's . i Son ato . why Is it because I touched ? that	Time 。 I seem to have seen this. it's. i Sonetto. why Is it because I touched? that
vertin_02_00040	2	word-fallback	0.000	line what Why did you all black out ? What happened ? I don 't seem to be affected . hmm I should come back and check again later .	Line what Why did you all black out? What happened? I don't seem to be affected. hmm I should come back and check again later.
vertin_02_00041	2	word	0.483	Hi . I 'm coming . you are awake how do you feel Any discomfort ? oh Hi	I'm coming. You are awake ... How do you feel? Any discomfort
vertin_02_00042	2	word	0.758	Let me explain . reg ulars apple What I invited you to join before is The St . Pav lov Foundation . As for Dr . Pepper , I think Son net to will find a way .	Let me explain. Regulus, Apple, what I invited you to join before is ... the St. Pavlov Foundation. As for Dr. Papper, I think Sonetto will find a way. Sure
vertin_02_00043	2	word	1.146	I 'm sorry . [vocal] The foundation is currently the charity that can provide the best treatment for ar can ists . There is no doubt about it . Every few years , the foundation select s talented	I'm sorry ... The Foundation is currently the charity that can provide the best treatment for arcanists. There is no doubt about it. Every few years, the Foundation
vertin_02_00044	2	word	0.778	ar can ists from children around the world . They go to orphan ages . and ad mon ition centres And even fish out unique ones from the prisons and detention centres . I was also one of them . Since I can remember	arcanists from children around the world. They go to orphanages and admonition centers, and even fish out unique ones from the prisons in detention centers. I was also one of them. Since I can remember
vertin_02_00045	2	word	0.797	. I know it very well that I am alone . U nt il 1999 . When the first storm came は い 。 I seemed to see my mother . I was not	I know it very well that I am alone. Until 1999, when the first "Storm" came ... I ... I seem to see my mother. ... I was
vertin_02_00046	2	word	1.219	sure . All of us , our memories of nineteen ninety - nine are blurred . I can only remember that she was placed on a laboratory bed surrounded by many medical staff . They shouted	sure. All of us ... our memories of 1999 are blurred. I can only remember that she was placed on a laboratory bed, surrounded by many medical staff. They shouted
vertin_02_00047	2	word	0.940	her name and mine . And I can 't remember anything else later , no matter how hard I try to ask . The official answer I got was always no such person . I have no intention to make enemies of the foundation	her name and mine. ... And I can't remember anything else. Later, no matter how hard I tried to ask, the official answer I got was always "No such person". I have no intention to make enemies of the Foundation
vertin_02_00048	2	word	1.041	, as I said . I just want to find out the truth , all the truth about nineteen ninety nine . I know what you said to Son net o just now as exped ient . I can still	As I said, I just want to find out the truth ... all the truth about 1999. I know what you said to Sonetto just now is expedient. I can
vertin_02_00049	2	word	0.982	help you get out of here . Then come back as soon as you finish the registration . The foundation is open to the public , but it 's still heavily guarded . So	help you get out of here. So you mean ... You will join me? You have other thoughts? Thank you. Then come back as soon as you finish the registration. The Foundation is open to public, but it's
vertin_02_00050	2	word	1.097	you have seen what the storm was like . Thank you for bringing the message , Son net to . so What 's the first mission for our team ? I see . The forces of the men ace expand dramatically	you have seen what the "Storm" was like? Thank you for bringing the message, Sonetto. So, what's the first mission for our team? Rescue the arcanists? I see. The forces of the Manus expand dramatically year by
vertin_02_00051	2	word	0.565	year by year . To stop the trend . We do need additional man power . but C en eto . Did you have oranges just now ? There is a scent of orange on the capsule .	year. To stop the trend, we do need additional manpower. But ... Sonetto, did you have oranges just now? There is a scent of orange on the capsule. Maybe that's
vertin_02_00052	2	word	0.491	Maybe that 's my mistake . If there is no question . We are ready to go . we should go I will carry it with me along the way .	that's my mistake. If there is no question, we are ready to go ... Hurry up and help! ... We should go. I will carry it with me along the way. But
vertin_02_00053	2	word	0.484	but reg ulars It 's fine . they won 't know How 's it going ? It will probably take some time for them to wake up . H ide them under the car	It's fine. They won't know. Stun them first. How's it going? It will probably take some time for them to wake up. Hide them under the car
vertin_02_00054	2	word	0.802	first . we don 't have much time Let 's hurry up to the hidden position . m r apple Why are you a little upset ? There 's still thirty minutes . Who 's coming early ? Dam n it .	first. We don't have much time. Let's hurry to the hidden position. ... Mr. Apple, why are you a little upset? There're still 30 minutes. Who's coming early ... ... Damn
vertin_02_00055	2	word	0.836	let 's go En ough . Those unconscious ar can ists behind you . Are the original victims right ? You were bringing them back to Man us ville , dictate .	Let's go! Rescue Adam Heyer. Enough. Those unconscious arcanists behind you ... are the original victims, right? You are bringing them back to
vertin_02_00056	2	word	0.706	answer my question D if ference in talent . Is never and never will be the reason to dep rive people of life . [vocal] Wait . There 's an address on the seal . ho ly potion	Answer my question. No one should be killed. ... Difference in talent is never, and never will be the reason to deprive people of life. Wait. There's an address on the seal
vertin_02_00057	2	word	0.793	bar the ward en Son eto . Up date the result to the headquarters . Let 's move on to the next destination . THE WOO DEN It may have the answer to all the questions .	Bar, The Walden. Sonetto, update the result to the headquarters. Let's move on to the next destination. The Walden ... It may have the answer to all the questions. Speaking
vertin_02_00058	2	word	0.509	Spe aking of which , son net to . Have you ever heard of a ghost story about fire ? oh So it is said that in the early twent ieth century . There was a devastating forest fire in Washington .	of which, Sonetto, have you ever heard of a ghost story about "fire"? Oh. So it is said that in the early 20th century, there was a devastating forest fire in Washington
vertin_02_00059	2	word	0.774	Those who died unfortunately didn 't want to leave . And they turned into dark ghosts in the woods . They follow the trave llers without making any sounds . And in order to see everyone 's face clearly . they will	Those who died unfortunately did not want to leave, and they turned into dark ghosts in the woods. They follow the travelers without making any sounds, and in order to see everyone's face clearly, they will
vertin_02_00060	2	word	0.451	L ots of unknown creatures , son ato stay behind me . [vocal] no too many of them [vocal] We can only take one round at most , not for long . Come	of unknown creatures! Sonetto, stay behind me! Everyone, get ready to fight! No, too many of them. We can only take one round at most, not for long. Coming again
vertin_02_00061	2	word	0.562	again . care ful Let 's go , Mr . Apple . It 's a good thing . Maybe we covered son eto . As long as one of us can leave the woods , there is hope for the rest . Too late to climb up the slope	again. Careful! Yes. I trust you. Where do we meet then? ... It's a good thing. Maybe we covered Sonetto. As long as one of us can leave the woods, there's hope for the rest. Too late to climb up the slope
vertin_02_00062	2	word	0.886	. Get ready to fight , Mr . Apple . How much longer can you hold on the hills ? Here you are , please allow us to assist you .	Get ready to fight! Mr. Apple, how much longer can you hold on? ... Who are you? ... Why are you in such a high place? Please allow us to
vertin_02_00063	2	word	0.729	Thank you very much for your help , Miss Dru vis . Yes , what is the storm gathering stock ? Why does it always have something to do with financial securities ? H 'm ,	Thank you very much for your help, Ms. Druvis. Yes. The exit on the northwest ... It's quite close to The Walden on the map. What is the Storm Gathering? Stock? Why does it always have something
vertin_02_00064	2	word	0.551	you were not going . Hello , please get me Madam 's Eve , the St . Pav lov Foundation Committee . I request access to the historical intelligence on the U . S . financial	You are not going? Sign the real name. Hello. Please get me Madam Z of St. Pavlov Foundation Committee. I require access to the historical intelligence on the U.S. financial
vertin_02_00065	2	word	0.528	market in 19 29 , specifically the date for the Wall Street stock market crash . And how much oct an on was involved in the methods of stock exchange . also I request sending back up to reinforce us for the storm gathering tonight . C ash or whatever quiet	market in 1929, specifically the date of the Wall Street stock market crash, and how much arcanum was involved in the methods of stock exchange. ... Also, I request sending backup to reinforce the Storm Gathering tonight. Casual
vertin_02_00066	2	word	0.992	. cop y that Thanks for coming to assist . I just don 't feel good about this . Hope fully it 's my mis jud gment . Is everyone in position ?	Copy that. Thanks for coming to assist. I just don't feel good about this. Hopefully it's my misjudgment. Is everyone in position? ... They
vertin_02_00067	2	word	0.847	got it Let 's head down to the ward en now . you follow apple Rem ember to stay low profile . Did you find out the relationship between Man us and Dick T aine him ? shit [vocal] I 'm going .	Got it. Let's head down to The Walden now. You follow Apple. Remember, to stay low profile. Did you find out the relationship between Manus Vindictae and him? It's her?! S**t! ... I'm going
vertin_02_00068	2	word	0.817	don 't worry you 've been there The scent of orange and son net was mission capsule . That 's why you can hij ack the host ages outside the parking . Why did you go to the foundation ? Can 't the manners give you what you want ?	Don't worry. You've been there? The scent of orange on Sonetto's mission capsule ... That's why you can hijack the hostages outside the parking? Why did you go to the Foundation? Can't the Manus give you what you want? What
vertin_02_00069	2	word	0.853	What if I say I can provide you with a shelter . The market is really dropping out of time to accelerate the history like this . Is that for I	What if I say, I can provide you with the shelter? Ugh! The market is really dropping ahead of time. To accelerate the history like this ... is that for
vertin_02_00070	2	word	0.462	'm fine ? Why are you behind the stage ? But you seem well . Thank you , this . Those behind him are men of the mal ice vind ict ive . I finally got the answer	fine. Why are you ... behind the stage? You seem well. Thank goodness. Those behind him ... are men of the Manus Vindictae! Correct. I finally got the answer
vertin_02_00071	2	word-fallback	0.324	. You were using the history to exped ite the storm , community conflicts , turbulent history . NE W TE CH N OL OG Y ALL OF TH ESE MAY LE AD TO THE ST OR M S IN CE THE L AST DAY OF N IN ET E EN N IN ET Y N	You were using the history to exped ite the storm, community conflicts, turbulent history. NE W TE CH N OL OG Y ALL OF TH ESE MAY LE AD TO THE ST OR M S IN CE THE L AST DAY OF N IN ET E EN N IN ET Y N
vertin_02_00072	2	word-fallback	0.207	INE THE WOR LD START ED TO GET RE VER S ED BY THE ST OR M ONE AF TER AN OTHER WH ICH P AST DO YOU W ANT TO R ET UR N F IF TY YE ARS A GO A century ago or . They 've reconstruct ed the building , all the exits	INE THE WOR LD START ED TO GET RE VER S ED BY THE ST OR M ONE AF TER AN OTHER WH ICH P AST DO YOU W ANT TO R ET UR N F IF TY YE ARS A GO A century ago or. They've reconstruct ed the building, all the exits
vertin_02_00073	2	word	0.440	are blocked . Le ave four behind for the team . Everyone else move . Don 't get caught . They 've made an underground l abyrin th in the spe ake asy . The end of the l abyrin th . What will that be ? Is Schne	Leave four behind for the team! Everyone else move! Don't get caught! They've made an underground labyrinth in the speakeasy! The end of the labyrinth, what will that be? Ok. Then ... ... Is
vertin_02_00074	2	word-fallback	0.000	ider C asting an arc ane skill . She 's near us . But why can I sense that ? no It 's nothing . You make the call . There will be many unexpected	Ider C asting an arcane skill. She's near us. But why can I sense that? no It's nothing. You make the call. There will be many unexpected
vertin_02_00075	2	word	1.003	dangers in the l abyrin th . We need to move carefully . Yes , I heard the sounds of the street . Can you find her position ? m r apple [vocal] They have an apostle . go	dangers in the labyrinth. We need to move carefully. Yes. I heard the sounds of the street. Can you find her position? We're here to help. Stay calm, miss. Uggh ... Let go ... Mr. Apple! The "Heaven Apostle
vertin_02_00076	2	word	1.219	run freely le ave the rest to me	Run freely. Leave the rest to me
